fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,April,16,KERALA,1608,ERNAKULAM,168304,311.191481583091,7,32,0,599,0,12284,167672,32636,29953,1068,2771,1.57475,523.355731,22539,23480,98205,151501,0,274051,385322,12883,521.780981,149615,50,52.74,63.67,100.03,NA
2025-2026,May,16,KERALA,1601,KASARGOD,433892,535.656599224008,8,12,1.528,377,0,12623,45619,3691,9550,8331,23750,4.5322,250.421384,5335,6009,99476,153900,0,172997,249454,13000,244.361184,37705,52,40.49,47.52,100,NA
2025-2026,May,16,KERALA,1603,WAYANAD,408036,506.850183228568,7,21,3.7985,558,0,8530,127109,8961,6458,47176,47109,4.85543,652.9061294,17098,18549,81010,140126,0,158517,261073,9088,644.2521994,108520,42,55.66,74.99,100,NA
2025-2026,May,16,KERALA,1611,ALAPPUZHA,1028199,423.983923592627,7,130,0,1365,0,21307,370069,57739,43249,2060,1128,3.10636,1572.1394262,46310,49037,171715,273319,0,266652,398288,22672,1569.0330662,337810,32,63.38,79.23,100,NA
2025-2026,April,16,KERALA,1606,PALAKKAD,295847,829.602373769191,7,13,4.928,938,2,32881,85716,31513,81406,5867,20735,2.36703,718.3970007,11928,13250,200799,289540,0,414363,562040,33819,711.1019707,73066,60,59.41,62.81,100,NA
2025-2026,April,16,KERALA,1607,THRISSUR,182903,324.400279518628,7,50,0.63,590,0,14215,156054,50737,46664,1172,2431,8.3568,515.2264122,21793,22928,142869,188836,0,353951,433799,14805,506.2396122,135880,50,40.81,75.67,100,NA
2025-2026,April,16,KERALA,1611,ALAPPUZHA,411281,487.221944733306,7,106,0,1186,0,21220,256755,41973,43228,1646,1127,3.10636,1254.0730642,36342,38286,171630,273170,0,266536,398082,22406,1250.9667042,234242,32,64.13,77.49,100,NA
2025-2026,April,16,KERALA,1612,PATHANAMTHITTA,118487,344.158702781489,7,42,0,743,0,8018,205825,60137,32838,2891,2081,0,708.36465,25731,27475,62073,108573,0,164660,256700,8761,708.36465,182224,44,67.74,92.07,100,NA
2025-2026,April,16,KERALA,1604,KOZHIKODE,406514,388.96878493049,6,32,0,801,0,19791,149547,18395,36352,2323,3940,3.90904,585.6001888,23271,24724,183222,292829,2,360376,533929,20592,581.6911488,131299,37,39.98,72.37,100,NA
2025-2026,May,16,KERALA,1611,ALAPPUZHA,1028199,424.79202582811,7,130,0,1359,0,21293,369365,57681,43242,2057,1128,3.10636,1572.1394262,46306,49032,171699,273296,0,266652,398286,22652,1569.0330662,337178,32,63.48,79.19,100,NA
2025-2026,May,16,KERALA,1614,THIRUVANANTHAPURAM,1279645,336.017304754969,8,39,0,959,0,23381,476491,71674,56408,6480,7788,3.89502,1604.9872356,54345,57929,215788,329083,0,399624,569909,24340,1601.0922156,407607,49,74.38,82.56,100,NA
2025-2026,May,16,KERALA,1610,KOTTAYAM,339609,374.864462140451,10,19,0,796,0,10484,356766,50826,18736,11108,4163,2.71022,1340.099167,32887,34426,78985,120856,0,210830,295288,11280,1337.388947,329965,51,73.74,85.32,100,NA
2025-2026,May,16,KERALA,1613,KOLLAM,951352,367.847784143444,10,182,0,1788,0,19860,843588,166067,58735,8834,2409,4.32625,3107.4460153,82727,87352,190042,302744,1,407802,594750,21648,3103.1197653,733657,40,75.14,88.85,100.01,NA
2025-2026,May,16,KERALA,1602,KANNUR,551394,364.016121994088,8,40,0,1046,1,15058,250340,12098,7993,15659,13438,3.60738,914.8853398,28439,29667,119674,177478,0,267910,369807,16104,911.2779598,233266,41,56.51,83.35,100,NA
2025-2026,May,16,KERALA,1608,ERNAKULAM,420758,327.427069512871,8,42,0,676,0,12647,267116,53538,29990,2285,2772,1.57475,876.184841,30191,31478,98386,151778,0,274155,385488,13323,874.610091,239611,50,57.91,69.1,100.02,NA
2025-2026,May,16,KERALA,1609,IDUKKI,520219,406.431290096586,10,40,0,1380,0,12063,361128,62203,27303,51414,24267,23.14991,1490.8870993,33823,41089,124561,227846,0,215335,368798,13443,1467.7371893,265998,34,65.64,84.11,100.02,NA
2025-2026,May,16,KERALA,1612,PATHANAMTHITTA,296220,346.287375751366,10,53,0,868,0,8147,306442,89512,32913,4159,2084,0,1061.16996,28453,30559,62152,108771,1,165137,257526,9015,1061.16996,270898,44,67.58,92.05,100,NA
2025-2026,May,16,KERALA,1605,MALAPPURAM,557518,363.975449685322,8,78,0,2118,0,18138,206878,58759,57777,7945,5553,4.74471,757.7298408,24372,26400,134465,218839,0,428619,617774,20256,752.9851308,169409,67,37.79,64.09,100,NA
2025-2026,May,16,KERALA,1609,IDUKKI,520219,420.931514905117,10,40,0,1348,0,12069,338206,59533,27297,47824,24264,23.14991,1446.7655493,32683,39672,124537,227811,0,215299,368780,13417,1423.6156393,248536,34,65.47,83.64,100.02,NA
2025-2026,May,16,KERALA,1614,THIRUVANANTHAPURAM,1279645,342.07716889696,9,58,0,1063,0,23646,623386,97822,56435,9169,7789,3.89502,2136.3562001,65423,69480,215958,329326,0,399793,570153,24709,2132.4611801,536552,49,76.3,84.07,100,NA
2025-2026,May,16,KERALA,1601,KASARGOD,433892,439.897622888833,9,15,1.528,481,0,12739,79340,5766,9556,12543,23768,4.5322,355.074974,8590,9554,99558,154051,1,173222,249786,13220,349.014774,66724,53,44.69,52.66,100,NA
2025-2026,May,16,KERALA,1604,KOZHIKODE,1016283,345.329626556931,8,63,0,1087,0,20453,453697,55369,36405,7000,3959,3.90904,1570.6591958,53572,56683,183535,293365,2,360657,534354,21540,1566.7501558,407709,37,52.21,84.54,100,NA
2025-2026,May,16,KERALA,1613,KOLLAM,951352,363.597092542742,9,178,0,1758,0,19792,803888,158416,58723,8728,2409,4.32625,2927.2396453,81807,86334,189992,302654,1,407630,594526,21550,2922.9133953,698918,40,75.09,88.75,100.01,NA
2025-2026,May,16,KERALA,1605,MALAPPURAM,557518,353.596478749057,8,73,0,1899,0,18210,188274,53375,57764,7079,5553,4.74471,670.4749444,22782,24675,134402,218721,0,428166,617110,20109,665.7302344,153791,68,37.02,63.27,100,NA
2025-2026,May,16,KERALA,1607,THRISSUR,457256,320.228015588706,8,70,0.63,782,0,14511,265192,86487,46735,1694,2431,8.3568,858.2058791,30357,31832,143134,189262,3,354199,434196,15293,849.2190791,233974,50,43.6,80.4,100,NA
2025-2026,May,16,KERALA,1603,WAYANAD,408036,518.120957414789,7,21,3.7985,574,0,8563,136221,9410,6459,50703,47113,4.85543,714.4434794,18082,19604,81022,140152,0,158546,261116,9137,705.7895494,116177,42,55.72,75.25,100.02,NA
2025-2026,May,16,KERALA,1605,MALAPPURAM,557518,343.656062364539,8,66,0,1820,0,18216,171636,47891,57741,6673,5553,4.74471,594.5822292,20911,22733,134318,218589,0,427736,616529,20036,589.8375192,139677,68,37.57,61.91,100,NA
2025-2026,May,16,KERALA,1609,IDUKKI,520219,428.749700224234,10,40,0,1294,0,11934,317971,55365,27290,45242,24263,23.14991,1386.4496193,31789,38574,124512,227770,0,215229,368669,13228,1363.2997093,233174,34,65.03,83.47,100,NA
