fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2025-2026,Sep,36,TELANGANA,3642,Suryapet,3107343,259.173711849352,21,3599,4170.788002986,4686,11,20979,2892251,575718,84753,586123,78316,499.16692,12165.909195686,134176,225868,178692,411255,37,291239,633514,25665,7495.9542727,1770644,20,57.89,59.38,100.04,NA
2025-2026,Sep,36,TELANGANA,3643,Wanaparthy,1334301,302.816504893162,20,465,1315.522932344,2491,5,10564,795600,124277,24746,105961,14581,289.18256,4013.913605274,38811,52415,70733,147107,40,134974,264267,13055,2409.20811293,542080,38,76.21,96.49,100.11,NA
2025-2026,Sep,36,TELANGANA,3644,Yadadri Bhuvanagiri,1386551,276.91039825725,25,1071,1771.809210021,2146,5,13656,1518978,309839,38206,188873,18804,467.58368,6445.600919261,60573,77552,89741,179027,42,157648,292207,15802,4206.20802924,1187418,42,77.78,91.8,100.03,NA
2025-2026,Sep,36,TELANGANA,3618,Nizamabad,2715726,262.431667657826,20,1272,1882.257074146,1195,16,15779,1449482,295094,67202,296555,48332,607.34859,6293.50544914601,71119,92621,158927,311349,34,268025,502412,16974,3803.89978500001,961296,8,36.01,68.16,100.08,NA
2025-2026,Sep,36,TELANGANA,3621,Warangal,1169561,236.341367700875,23,805,258.1634932,1370,2,6563,1015105,151600,27535,284780,41123,317.45955,2974.73608379997,43440,64670,75631,163083,47,130208,265113,7933,2399.11304059997,664382,29,43.32,73.03,100.06,NA
2025-2026,Sep,36,TELANGANA,3637,Peddapalli,1141360,274.177391507604,25,938,2729.1438098,2396,2,7964,1159390,243708,34421,47962,4585,311.22502,6219.15408920001,45610,62100,71152,158196,54,125187,253876,10360,3178.78525940001,808968,13,47.14,75.93,100,NA
2025-2026,Sep,36,TELANGANA,3638,Sangareddy,2597562,256.846121820497,24,819,2213.939216746,2815,24,14050,1724915,601880,79545,241031,33595,552.06645,7196.38294894602,69678,102462,125391,251913,34,229325,420652,16865,4430.37728220002,1060908,11,35.97,79.64,100.14,NA
2025-2026,Sep,36,TELANGANA,3641,Rajanna Sirsilla,1039585,268.127691985371,27,422,1231.53186473,1451,5,8904,992810,235784,35234,159298,12383,286.07526,4179.60566352996,36224,48479,60676,131849,48,99930,203457,10355,2661.99853879996,693763,15,45.9,79.79,100.37,NA
2025-2026,Sep,36,TELANGANA,3614,Mahabubnagar,1548909,250.408488378867,28,440,1622.547185026,2953,1,11486,1304434,182595,24928,228845,23149,421.17125,5310.13189632599,45853,60673,81378,149334,74,139096,227927,14439,3266.41346129999,908936,28,47.38,78.47,100.01,NA
2025-2026,Sep,36,TELANGANA,3615,Vikarabad,3018513,278.867276794007,37,1562,5041.978039726,2656,18,24572,3410128,980074,76372,450007,37562,542.62094,15094.3300685159,91960,153838,128059,277758,229,192442,392152,27228,9509.73108878993,1926254,53,86.49,93.88,100.07,NA
2025-2026,Sep,36,TELANGANA,3617,Medak,2137775,264.169602029523,27,946,2209.908315287,1427,24,12447,1911976,323105,47399,322029,32751,446.6984,7707.46610538699,68656,110799,113498,246509,92,172799,346817,13874,5050.85939009998,1121021,19,44.23,86.55,100.12,NA
2025-2026,Sep,36,TELANGANA,3618,Nizamabad,2715726,262.376114889427,20,1269,1882.257074146,1172,16,15786,1442883,293858,67195,295349,48330,607.70919,6275.746621946,71017,92485,158921,311323,31,268027,502399,16958,3785.78035780001,957349,8,35.77,68.07,100.08,NA
2025-2026,Sep,36,TELANGANA,3619,Adilabad,2069832,277.002549937229,42,1373,2500.470981756,2147,5,21931,3596465,542146,39564,1887142,110722,465.30829,12928.079029356,83791,149904,110167,234815,587,174421,345462,24078,9962.29975759995,1824409,49,60.82,87.85,100.6,NA
2025-2026,Sep,36,TELANGANA,3625,Hanumakonda,963225,252.35267743052,21,496,1122.813296047,589,3,6057,806031,200639,32800,29845,3756,330.10238,3486.956485467,37194,53775,58309,124502,43,98705,200638,6646,2034.04080942,526539,25,37.41,85.33,100.01,NA
2025-2026,Sep,36,TELANGANA,3626,Jagtial,1644522,290.356413427058,20,510,2275.239872641,1758,2,13946,1163233,289122,45987,77382,8878,399.43532,6052.19681124097,56395,69035,100782,179708,33,170582,278266,15704,3377.52161859997,872052,18,49.26,87.78,100.1,NA
2025-2026,Sep,36,TELANGANA,3631,Kumram Bheem(Asifabad),1818965,241.484236004613,35,812,790.246161715,1829,2,12489,2177932,360927,30976,780075,69155,332.71991,6382.328522615,61686,105599,89372,188226,140,123111,244394,14318,5259.3624509,1168284,30,36.45,72.02,100.08,NA
2025-2026,Sep,36,TELANGANA,3636,Nirmal,2730905,256.946602577464,28,1056,2267.848624912,1997,4,14273,2462973,471799,51794,636679,48060,399.62629,8996.00036081224,84991,134897,129679,261544,325,184617,346184,16270,6328.52544590024,1475199,28,22.79,80.87,100.06,NA
